251,123,345,123,345,175,251,175
354,125,440,135,434,186,348,176
239,178,254,178,254,201,239,201
270,176,323,176,323,204,270,204
154,178,225,178,225,204,154,204
323,179,357,179,357,207,323,207
357,181,387,181,387,209,357,209
399,186,486,194,483,221,396,213
493,195,545,195,545,223,493,223
271,212,355,214,354,244,271,241
190,215,256,217,256,242,189,240
382,218,417,218,417,246,382,246
433,224,512,229,510,255,431,249
239,245,320,245,320,273,239,273
335,248,385,248,385,276,335,276
398,251,466,254,465,283,397,280
22,301,142,313,140,340,20,329
156,310,275,314,274,342,155,338
654,323,676,323,676,350,654,350
507,328,573,328,573,357,507,357
576,331,639,331,639,354,576,354
27,372,111,380,108,407,24,399
123,381,159,381,159,406,123,406
170,379,254,379,254,409,170,409
643,393,676,393,676,418,643,418
556,395,625,395,625,421,556,421
28,406,81,411,78,440,25,435
79,415,125,415,125,442,79,442
139,414,189,414,189,442,139,442
656,428,675,428,675,453,656,453
525,429,638,432,637,460,524,457
31,487,42,487,42,504,31,504
61,485,159,488,159,513,60,510
635,496,673,496,673,526,635,526
604,500,639,500,639,525,604,525
28,517,46,517,46,543,28,543
62,521,142,521,142,546,62,546
587,532,625,532,625,560,587,560
634,532,673,532,673,560,634,560
60,554,126,554,126,581,60,581
31,557,40,557,40,576,31,576
606,568,628,568,628,593,606,593
635,567,673,567,673,595,635,595
26,621,78,621,78,648,26,648
96,623,189,623,189,648,96,648
587,634,623,634,623,662,587,662
635,635,673,635,673,664,635,664
31,654,83,661,80,686,28,680
96,659,125,659,125,684,96,684
606,671,626,671,626,696,606,696
635,671,673,671,673,700,635,700
29,728,130,731,129,779,28,775
570,741,678,746,676,796,568,791
173,819,325,822,324,852,172,849
340,823,432,823,432,850,340,850
431,823,464,823,464,851,431,851
476,825,510,825,510,853,476,853
272,892,357,890,358,919,273,921
368,892,431,892,431,917,368,917
